"Time","Conc1","Conc2"
0,0,0
30,5.15823929678527,4.87807750572976
60,12.9564761093859,12.4099129432492
90,14.5607467606462,13.6028330325223
120,13.4922343499613,12.9401552932292
150,12.4190875401052,12.8138022063678
180,12.1583337757594,11.5850336612609
240,9.18255125188965,8.79423501500537
300,7.45258684418233,7.12174633098915
360,5.59434248037806,5.75141765527012
420,4.36549280311364,4.56620840274999
480,3.28560644601882,3.46756977153863
